Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
jeffery48@mcguire.com,"52326 Townsend Centers
Lake Williamburgh, NJ 70568-7463",LightCyan,32.302553103111435,11.979061483915341,38.26906069147024,3.532861579556475,478.600915944333
theresamitchell@martin-chambers.biz,"157 Linda Roads
New Jimmyshire, MH 51942",Khaki,31.82797905546526,12.461147444665416,37.42899736939191,2.9747368150832405,440.0027475469415
christianwade@butler.info,"3687 Sarah Ranch Suite 919
Gainesfort, AK 05665",Crimson,32.018074010632084,10.079463451952432,38.0706642585136,2.6181653103960847,357.7831107453153
tina16@santiago.com,"314 Kidd Run
Johnfort, KS 46546-2732",White,32.997459002491695,12.589240561061523,37.33224074655334,2.8040136926903942,476.139246872566
vancealicia@hotmail.com,"06307 Scott Spurs Suite 161
Jessicaburgh, NH 26093-5908",RoyalBlue,31.81642833419931,14.288014590766299,36.77386136993079,2.9644978762354017,501.1224915036564
dbell@hotmail.com,"3485 Anthony Street Apt. 119
Mikeberg, FL 32602",DarkViolet,34.46151473966461,11.917115695587762,37.76668677332467,4.3508878437244665,592.6884532021675
pamelahampton@martin-cobb.com,"91542 Jessica Springs Suite 255
Thomashaven, MT 39239-3790",DarkSeaGreen,32.34279623166797,11.40964461636565,35.77778217066089,3.8724320418689104,486.0834255029927
mark81@wagner.com,"410 Gonzalez Corners Apt. 187
East Stephenport, VT 22771",Navy,32.30274837339047,12.815392648610311,37.95780983454751,4.615426306527649,576.0252441251166
awerner@manning.com,"407 Blake Ways
Port Davidland, WA 78438",Gray,33.06644065628263,11.673229254101274,37.84065507750671,2.727209453758874,442.72289157427144
robertramirez@kaiser.com,"1583 Anderson Coves
East Rebecca, NH 27212",Purple,33.894640388465476,10.61053651970745,37.97738873797974,3.537123879902206,461.7909590614097
justin26@gmail.com,"32303 Baldwin Causeway
South Robertside, HI 58126",RosyBrown,32.765664587506606,12.506548190327935,35.82346666642284,3.12650948966,488.387525780145
douglas95@yahoo.com,"395 Summers Courts Apt. 413
Coopermouth, IA 21205-1079",White,33.76981237165136,11.304462307422884,37.833971728598954,5.137816745950984,593.1564014822196
qmorse@yahoo.com,"0360 Pearson Dam Suite 263
Lake Shawn, UT 65986-4190",MediumTurquoise,31.812482559724266,10.886921180951674,34.897827688311345,3.1286388557446334,392.81034498379734
jason50@bates.net,"74839 Michael Plains Suite 356
South Austinshire, ND 40309-1424",Bisque,32.00850451785513,12.095889485093478,36.37750903434099,3.1789524050534483,443.19722102875545
qeaton@savage.com,"27032 Michelle Forest
Morrowtown, ND 14749",SaddleBrown,33.30433661798984,12.692661429739388,37.33359061333867,3.8273759151075666,535.4807751896418
tluna@hotmail.com,"01512 Hendricks Rue
East Pamela, PR 46481",YellowGreen,32.189844729273545,11.386775551280651,38.19748324839899,4.808320372869162,533.3965537868428
kara33@gmail.com,"5527 Hogan Road
South Jeffreychester, MA 28632",LavenderBlush,34.935605105644306,10.728418539377822,36.88119240747175,4.048510087289211,532.1274491097012
thomas22@yahoo.com,"7346 Jennifer Green Suite 148
Wagnertown, MT 65972",IndianRed,33.55165060797954,11.936895159842097,35.90025278215821,4.5433324132930855,558.9481123879059
david47@hotmail.com,"37216 Krista Drives
West Andrew, DE 70036",DarkKhaki,32.38696867463189,12.717995102314035,35.12882235312117,3.4810621331251683,508.77190674151797
beasleyjoseph@hotmail.com,"1094 Bentley Forges
Lake Antonio, MA 29181-3664",SaddleBrown,33.34450868519732,10.969802874106238,35.9745781075859,2.627624971434411,403.7669020956173
hoffmandaniel@yahoo.com,"922 Hampton Path Suite 198
Port Jasonmouth, FL 46623",Orchid,33.6727578867203,13.420545742201174,37.76369040280343,4.794312263402832,640.5840618984408
garnerjustin@king.com,"0833 Brian Canyon Suite 566
Anthonymouth, VT 01329-7541",DarkCyan,34.00207092262163,11.85468192110211,37.491892210406924,2.761861926301417,461.62827839108616
francesjohnson@lee.com,"577 Peters Turnpike
Loriport, MA 60572-1669",Aquamarine,32.65539704223188,11.91885970932454,35.71626915951701,2.1596760229888288,382.41610786547506
awu@robinson.org,"0281 Dale Wells Suite 656
East Joshua, ME 73389",Brown,32.054261851184755,13.149669557991398,37.65040020345744,4.1956144126751305,561.874657668983
xevans@hotmail.com,"13164 Miller Camp
South Deannaberg, ID 85433",DarkMagenta,33.22877226969563,12.685393899848075,36.04898625036686,2.139403004485981,444.57614413373005
lauriewilson@jackson.com,"389 Joshua Stravenue Apt. 983
Martinezland, MN 29049",Cornsilk,32.077590044329135,10.347876945661577,39.04515569638811,3.43455972254092,401.03313521910604
cruiz@yahoo.com,"497 Julian Brook Suite 872
Hillberg, FM 87927-5760",LightSalmon,33.981005579787784,9.316289204373824,36.91495154541398,2.8684281816397523,384.3260571375157
tammy12@gmail.com,"78297 Brown Street Apt. 786
East Taylorfurt, AK 97246",Chocolate,34.17951756796679,12.581547729914535,35.444264696393994,3.1370689754806826,527.7829957560522
adamperkins@terrell.com,"2595 James Creek Apt. 571
Millerberg, HI 82236",PaleVioletRed,32.60273898042012,11.764447589452987,37.922703809566,3.5258064121952244,482.14499687576796
willie26@johnson-howard.com,"97686 Robertson Cape Suite 607
Port Veronicaside, NE 47293",Wheat,32.03054971621298,12.644202118863696,38.00182746752369,5.038107493844868,594.2744834186117
yvaughn@meyer.com,"9863 Dawn Court Suite 429
Lake Connie, MI 12238",OldLace,33.100357750772915,11.832112231483734,36.841491638054855,3.6122391519936996,502.0925279023197
carolfarley@gmail.com,"51173 Curtis Cliff Apt. 727
Ramoston, DE 32714-4579",SlateBlue,32.99059904291544,10.441235061603205,35.93896250240334,2.8950751628043556,407.65717875932603
rhonda01@gmail.com,"939 Watson Run
Staceyberg, VT 58376-0454",Orchid,34.385820292995376,12.729719510423307,36.232109802584205,5.705940716620838,708.9351848669819
david80@knight.com,"368 Morris Ports Apt. 735
New Lisaville, GA 34271-8632",MediumAquaMarine,34.357196268204405,9.477777607959723,37.90601452014432,5.0470225513950995,531.9615505451646
aaron04@yahoo.com,"16338 Scott Corner Suite 727
West Alexandra, AR 54429",SeaGreen,33.70511279750195,10.163179060052556,37.76304108154524,4.778973636034998,521.2407802357948
kaylahenderson@hotmail.com,"Unit 1609 Box 3480
DPO AA 95185",MediumSpringGreen,32.40429504598358,11.608997936221536,38.11045690682496,2.96655888465992,447.3690271993314
mholt@hotmail.com,"486 Adams Hills
North Walter, MS 18124",LightSeaGreen,31.829346455921133,11.268259230574026,36.9569654250941,2.6689197733345025,385.152337987975
tanya20@gmail.com,"69279 Stewart Mountains
South Pamela, KS 22541-3414",DarkKhaki,31.366212167187687,11.163159542913277,37.088319364334765,3.6203545888040867,430.58888255648486
aaron89@gmail.com,"0128 Sampson Loop Suite 943
Hoffmanton, MO 02122",SaddleBrown,31.447446494127817,10.101632204781014,38.04345265084127,4.238296188412728,418.602742095224
hunterlucas@gmail.com,"89301 Kylie Crossroad
Petersonberg, MH 23834",Turquoise,33.58294683702328,12.761531278201021,36.90818962373682,2.4793398232086954,478.9514047578855
sfarley@jones.com,"0554 Powers Curve
Nathanchester, FL 06878-6336",AntiqueWhite,32.39742194430904,12.055340161330117,37.68546548721554,3.506967573635258,483.7965220614929
sarahtran@dixon.com,"770 Katie Walk Apt. 585
Port David, MN 52850",GoldenRod,35.03744996157605,11.935934966559183,35.78392374450292,3.310150346576856,538.941974531203
randywhite@armstrong.biz,"0506 Pitts Forks
Woodsbury, AL 98082-8186",Teal,32.78494023263413,12.451200012438312,36.66579136924871,3.5358024678738276,486.1637990666317
tsmith@yahoo.com,"92028 Thomas Mountains Suite 044
New Matthew, MI 02429-0994",Bisque,33.9717220376126,12.284467067067208,38.29572526401705,1.1304769604319769,385.0950070687634
martinezleah@carter.com,"8456 Joseph Locks Suite 926
Christopherport, TN 57784",PaleGreen,33.38599019075222,12.782171794760183,35.55077226680613,3.2287176862706497,527.7837897574573
steven00@combs.com,"64460 Morris Fords
Gonzalesmouth, MI 40832",RosyBrown,33.556555671402755,12.960307128914414,37.951946317735135,3.3459223210048927,547.1907493518986
blakekent@smith-pena.com,"3933 Brooke Point
Johnsonburgh, DE 22659-3488",Crimson,33.58737339024554,9.95399500605983,37.34573893439929,3.2156668270219866,410.60294394921505
amanda03@yahoo.com,"313 Lisa Loop Apt. 543
North Jenniferchester, MN 58819",Brown,34.18818406101828,13.130021664776669,35.42933438847124,3.7905521368804433,583.9778019715428
brandonsmith@yahoo.com,"62106 Nathan Mountain Suite 505
North Matthewborough, AZ 32092-6122",Gold,33.59396354804201,11.520566788562215,36.18913179541947,3.5612152714310823,474.5323294398898
thardy@perry.com,"39209 Cooper Neck Apt. 541
Tylermouth, ME 94450",SeaGreen,33.236265721508744,10.972554314292413,34.57402758718963,2.931619534651152,414.9350606518193
michael86@yahoo.com,"87270 Garrett Cliffs Suite 361
Brooksberg, MO 26555-2502",LightYellow,33.20891970058922,13.53191346185937,38.95246252162795,3.0465406206892376,550.8133677324173
ulee@wells.com,"309 Singleton Hollow
Matthewhaven, NJ 68776-7477",LemonChiffon,33.63781167586591,12.039502370469922,34.48718474774243,2.739200466766662,458.78113168424994
judithsmith@jimenez.biz,"186 Anthony Route
Gordonview, AS 78120-4633",DarkOrange,33.59048580327403,10.942069621017652,36.17049420248099,2.783963128204522,407.54216801343483
nblack@smith-romero.biz,"00615 Tracy Islands
New Marcfort, MO 87297-7431",LightCyan,34.195508030962635,12.664192622515646,37.02715036476952,4.330407444211276,581.3089328795
michaelcampbell@yahoo.com,"96480 White Lane Suite 521
Pattersonhaven, OR 39409-4561",Gray,35.86023651335309,11.730661394277831,36.8821490815068,3.41620997759013,546.5566668627299
rcarter@crane-thompson.org,"14064 Frazier Hills Apt. 176
Amyborough, MP 77858-0018",MediumVioletRed,33.48193057257537,11.918670307379347,37.31770494919684,3.3363393820041853,503.1750851912004
dwhite@gmail.com,"02136 White Grove Suite 418
Marytown, DE 70033",OrangeRed,33.25823783380398,11.514949066574868,37.128039498322295,4.662845304002564,549.131573287217
vancemichelle@gmail.com,"6586 Reginald Crest Apt. 061
North Josephfort, NM 55275",DeepPink,32.319857972167306,12.418113202231622,36.155336204959546,3.222080766760957,482.83098586170183
kylemelendez@hotmail.com,"2749 Cunningham Flat Apt. 838
Derekberg, OH 45288",DeepPink,32.43083857908201,13.887275413385504,38.38195597213616,3.7729690246447083,557.6082620533542
richard35@hale-duncan.net,"33940 Craig Throughway Apt. 334
Martinview, IL 62015-0314",GhostWhite,31.44597248275779,12.846499067474369,37.86921693600857,3.420149530164856,484.87696493512857
waltonkaren@gmail.com,"355 Villegas Isle Apt. 070
West Jenniferview, NM 26775-4339",Green,35.74266980593494,10.889828283005029,35.565436237139735,6.115198945760052,669.9871405017029
contrerastiffany@gmail.com,"439 Todd Summit Apt. 478
Mooreland, AR 31655",CadetBlue,34.012619460656374,12.914570094327917,36.046203518424534,3.488029991222591,547.7099885778625
rogerstiffany@wilson-horne.com,"30700 Justin Ports
Port David, PA 52171-5921",DarkOliveGreen,34.14039342796294,11.568526641744768,38.918748541019504,4.082855278762214,537.8252822957112
waltercharles@sanders.net,"291 Stephen Glens Apt. 532
Jacquelineton, NJ 53606-5656",IndianRed,32.37798965892753,11.971750786570595,37.19936752783635,2.8296995751470893,408.2169017707518
john96@chan-anderson.biz,"04290 Barron Square
Laurenmouth, AS 79917-9544",Snow,33.17233109074306,13.07869243953642,37.329818625212354,5.405406467229508,663.0748176067602
bushsharon@barber.com,"0013 Andre Field
Whitebury, AZ 68447-6306",DarkSeaGreen,33.24732220295966,11.956426484854195,36.5173461200418,3.451750709833103,506.37586675019753
nicolegay@jennings.com,"50718 Timothy Light
Garciaport, SC 60266-6696",BlueViolet,33.59891333929404,13.252737094184228,37.30596141998359,2.935577273740486,528.4193296952955
rchambers@hotmail.com,"53964 Weaver Brook Suite 861
Stevensonshire, NY 18128",OliveDrab,33.08529799058909,13.093537281195058,38.31564796064117,4.75036007144446,632.1235881419656
gomezalicia@hotmail.com,"506 Allison Cove Apt. 766
Weeksstad, AS 71308",MediumSpringGreen,32.278443347919655,12.527471744522868,36.688366542504845,3.5314023030588984,488.2702979651482
potterkenneth@strickland.com,"2559 Harris Pines Apt. 514
Michaelshire, ME 21753-8834",MediumSlateBlue,33.441553044751224,11.235968954252515,37.05261630809583,3.904479379627935,508.7357409506604
charlesjackson@brady-fuller.net,"3802 Veronica Causeway
East Patrickfurt, DC 84522",GhostWhite,32.86530120924307,12.074830167957376,35.56917031744619,2.3990797897904113,411.1869635742789
jacquelinewest@pace-herrera.com,"592 Villanueva Village
Woodsstad, AK 20530",Purple,31.52619789823981,12.045331979699332,38.50588332918249,2.847709026474498,409.09452619233787
stevenjohnson@yahoo.com,"PSC 4427, Box 6116
APO AP 87584-5187",SandyBrown,33.000849640152055,11.230743306761045,36.99529016635977,3.781703565104839,467.8009243667916
johnsonchelsea@gmail.com,"19270 Velasquez Coves
Boylechester, AZ 51480",LightCyan,32.088380630448206,11.90784409977911,35.18912244437772,4.34977841863416,512.165866388158
jenniferjenkins@jones.com,"USNS Jacobs
FPO AE 71507-1312",LightSalmon,33.26544447284578,13.05221038516131,38.775665296116884,4.574287716419565,608.2718166151668
ebutler@rogers-gonzalez.com,"001 Estrada Union
Lewismouth, TN 47360",Chartreuse,32.992573196692234,13.004362005673078,36.98504141740091,4.620416384895069,589.0264897562791
ellenlucas@cox.org,"86268 Davis Corner
North Danielview, CT 59551-9382",DarkGoldenRod,33.86318870719846,11.52352268106905,35.9380452301724,3.0130325004194374,444.05382657277266
elizabethnunez@vasquez-nelson.net,"209 Andrew Viaduct
Port Anna, OR 01627-8037",Cornsilk,32.59209322575472,10.314717921893896,36.72902940108787,4.791108744558267,493.18126139071865
ramirezjacob@turner.com,"19704 Kaitlin Flat
West Andrewtown, VI 38642",Magenta,32.381034590963445,12.433128529733452,37.626906802047884,4.334001444341368,532.724805462904
brian51@cook.info,"0508 Terrance Cliff
Rebekahtown, NC 48724-8308",SaddleBrown,31.517121802506228,10.745188554182882,38.79123468689964,1.4288238768282668,275.9184206503857
victoriajohnson@gmail.com,"2082 Christopher Place Apt. 081
Cynthiahaven, HI 99393-8910",DarkViolet,33.45430192604019,11.016755636715029,37.6373109611636,4.137000388171067,511.0387860511611
lawrencewalton@hotmail.com,"584 Patterson Falls
West Alicia, DE 45751",Chocolate,32.21552741998912,12.216854693359824,36.95395970110429,2.910530822492482,438.41774201146853
ashleymoreno@gmail.com,"11430 Meza Green Suite 037
Martinezborough, FL 40624-8726",DarkViolet,31.673915503274955,12.329147021418827,37.07437106706513,3.9824623189556387,475.7250679098812
wesleyvance@moore.com,"210 Johnson Street Suite 717
New Bethanyborough, MO 84817",Magenta,33.717554613005134,10.8069660677747,36.01231723045213,3.701229217020273,483.54319386538816
edwardbrown@yahoo.com,"2971 Angela Island
Lake Timothychester, NE 48734-6685",HotPink,33.21547157476038,12.135101396955722,37.14209368933963,5.8405058759314255,663.8036932755082
